GameId,Period,Jam,Team,PlayerId,Position,Box,Penalties,PostPassBox,PostPassPenalties,PassOccurred
1004,1,11,Charter Team,15,Pivot,,0,,0,FALSE
1004,1,11,Charter Team,16,Blocker1,$,0,,0,FALSE
1004,1,11,Charter Team,17,Blocker2,,0,,0,FALSE
1004,1,11,Charter Team,18,Jammer,,0,,0,FALSE
1004,1,11,Charter Team,22,Blocker3,,0,,0,FALSE
1004,1,11,Thunder,2,Pivot,,0,,0,FALSE
1004,1,11,Thunder,6,Jammer,,0,,0,FALSE
1004,1,11,Thunder,9,Blocker2,,0,,0,FALSE
1004,1,11,Thunder,11,Blocker1,,0,,0,FALSE
1004,1,11,Thunder,28,Blocker3,,0,,0,FALSE
1004,1,12,Charter Team,21,Pivot,,0,,0,FALSE
1004,1,12,Charter Team,22,Blocker3,/,1,,0,FALSE
1004,1,12,Charter Team,24,Jammer,,0,,0,FALSE
1004,1,12,Charter Team,25,Blocker2,,0,,0,FALSE
1004,1,12,Charter Team,27,Blocker1,,0,,0,FALSE
1004,1,12,Thunder,1,Blocker2,,0,,0,FALSE
1004,1,12,Thunder,5,Jammer,,0,,0,FALSE
1004,1,12,Thunder,7,Blocker1,,0,,0,FALSE
1004,1,12,Thunder,8,Pivot,,0,,0,FALSE
1004,1,12,Thunder,13,Blocker3,,0,,0,FALSE
1004,1,13,Charter Team,14,Blocker2,,0,,0,FALSE
1004,1,13,Charter Team,15,Jammer,,0,,0,FALSE
1004,1,13,Charter Team,18,Pivot,,0,,0,FALSE
1004,1,13,Charter Team,22,Blocker3,$,0,,0,FALSE
1004,1,13,Charter Team,27,Blocker1,,0,,0,FALSE
1004,1,13,Thunder,2,Pivot,,0,,0,FALSE
1004,1,13,Thunder,9,Blocker2,,0,,0,FALSE
1004,1,13,Thunder,10,Blocker3,,0,,0,FALSE
1004,1,13,Thunder,11,Blocker1,,0,,0,FALSE
1004,1,13,Thunder,12,Jammer,/,1,,0,FALSE
1004,1,14,Charter Team,16,Blocker3,,0,,0,FALSE
1004,1,14,Charter Team,19,Blocker2,X,1,,0,FALSE
1004,1,14,Charter Team,21,Jammer,,0,,0,FALSE
1004,1,14,Charter Team,24,Pivot,,0,,0,FALSE
1004,1,14,Charter Team,27,Blocker1,,0,,0,FALSE
1004,1,14,Thunder,1,Blocker1,,0,,0,FALSE
1004,1,14,Thunder,3,Blocker3,,0,,0,FALSE
1004,1,14,Thunder,5,Pivot,,0,,0,FALSE
1004,1,14,Thunder,7,Blocker2,,0,,0,FALSE
1004,1,14,Thunder,12,Jammer,$X,1,,0,FALSE
1004,1,15,Charter Team,15,Pivot,,0,,0,FALSE
1004,1,15,Charter Team,16,Blocker3,,0,,0,FALSE
1004,1,15,Charter Team,18,Jammer,,0,,0,FALSE
1004,1,15,Charter Team,20,Blocker2,,0,,0,FALSE
1004,1,15,Charter Team,22,Blocker1,X,1,,0,FALSE
1004,1,15,Thunder,2,Pivot,,0,,0,FALSE
1004,1,15,Thunder,6,Jammer,,0,,0,FALSE
1004,1,15,Thunder,9,Blocker1,,0,,0,FALSE
1004,1,15,Thunder,10,Blocker2,,0,,0,FALSE
1004,1,15,Thunder,11,Blocker3,,0,,0,FALSE
1004,1,16,Charter Team,17,Blocker1,,0,,0,FALSE
1004,1,16,Charter Team,20,Blocker2,,0,,0,FALSE
1004,1,16,Charter Team,24,Pivot,,0,,0,FALSE
1004,1,16,Charter Team,25,Jammer,X,1,,0,FALSE
1004,1,16,Charter Team,27,Blocker3,,0,,0,FALSE
1004,1,16,Thunder,1,Blocker3,,0,,0,FALSE
1004,1,16,Thunder,5,Pivot,,0,,0,FALSE
1004,1,16,Thunder,7,Blocker1,X,1,,0,FALSE
1004,1,16,Thunder,8,Jammer,/,1,,0,FALSE
1004,1,16,Thunder,13,Blocker2,,0,,0,FALSE
1004,1,17,Charter Team,15,Jammer,,0,,0,FALSE
1004,1,17,Charter Team,17,Blocker1,,0,,0,FALSE
1004,1,17,Charter Team,18,Pivot,,0,,0,FALSE
1004,1,17,Charter Team,22,Blocker2,,0,,0,FALSE
1004,1,17,Charter Team,27,Blocker3,X,1,,0,FALSE
1004,1,17,Thunder,2,Pivot,,0,,0,FALSE
1004,1,17,Thunder,8,Jammer,$,0,,0,FALSE
1004,1,17,Thunder,9,Blocker1,,0,,0,FALSE
1004,1,17,Thunder,11,Blocker3,,0,,0,FALSE
1004,1,17,Thunder,28,Blocker2,,0,,0,FALSE
1004,1,18,Charter Team,16,Blocker3,,0,,0,FALSE
1004,1,18,Charter Team,17,Blocker1,,0,,0,FALSE
1004,1,18,Charter Team,18,Pivot,,0,,0,FALSE
1004,1,18,Charter Team,21,Jammer,,0,,0,FALSE
1004,1,18,Charter Team,22,Blocker2,,0,,0,FALSE
1004,1,18,Thunder,1,Blocker3,,0,,0,TRUE
1004,1,18,Thunder,3,Blocker2,,0,,0,TRUE
1004,1,18,Thunder,5,Pivot,X,1,,0,TRUE
1004,1,18,Thunder,6,Jammer,,0,,0,TRUE
1004,1,18,Thunder,7,Blocker1,,0,,0,TRUE
1004,1,19,Charter Team,15,Jammer,,0,,0,FALSE
1004,1,19,Charter Team,16,Blocker3,,0,,0,FALSE
1004,1,19,Charter Team,24,Pivot,,0,,0,FALSE
1004,1,19,Charter Team,25,Blocker1,,0,,0,FALSE
1004,1,19,Charter Team,27,Blocker2,,0,,0,FALSE
1004,1,19,Thunder,2,Pivot,,0,,0,FALSE
1004,1,19,Thunder,4,Blocker2,,0,,0,FALSE
1004,1,19,Thunder,9,Blocker3,,0,,0,FALSE
1004,1,19,Thunder,11,Blocker1,,0,,0,FALSE
1004,1,19,Thunder,12,Jammer,,0,,0,FALSE
1004,2,1,Charter Team,15,Pivot,X,1,,0,FALSE
1004,2,1,Charter Team,18,Blocker3,,0,,0,FALSE
1004,2,1,Charter Team,21,Jammer,,0,,0,FALSE
1004,2,1,Charter Team,22,Blocker1,,0,,0,FALSE
1004,2,1,Charter Team,27,Blocker2,,0,,0,FALSE
1004,2,1,Thunder,2,Pivot,,0,,0,TRUE
1004,2,1,Thunder,4,Blocker3,,0,,0,TRUE
1004,2,1,Thunder,9,Blocker1,,0,,0,TRUE
1004,2,1,Thunder,11,Blocker2,,0,,0,TRUE
1004,2,1,Thunder,12,Jammer,X,1,,0,TRUE
1004,2,2,Charter Team,15,Pivot,,0,,0,FALSE
1004,2,2,Charter Team,17,Blocker3,,0,,0,FALSE
1004,2,2,Charter Team,18,Jammer,,0,,0,FALSE
1004,2,2,Charter Team,22,Blocker1,,0,,0,FALSE
1004,2,2,Charter Team,27,Blocker2,,0,,0,FALSE
1004,2,2,Thunder,1,Blocker2,,0,,0,FALSE
1004,2,2,Thunder,5,Pivot,,0,,0,FALSE
1004,2,2,Thunder,6,Jammer,X,1,,0,FALSE
1004,2,2,Thunder,7,Blocker3,/,1,,0,FALSE
1004,2,2,Thunder,12,Blocker1,$,0,,0,FALSE
1004,2,3,Charter Team,15,Pivot,,0,,0,FALSE
1004,2,3,Charter Team,17,Blocker3,,0,,0,FALSE
1004,2,3,Charter Team,19,Blocker2,,0,,0,FALSE
1004,2,3,Charter Team,21,Jammer,,0,,0,FALSE
1004,2,3,Charter Team,22,Blocker1,,0,,0,FALSE
1004,2,3,Thunder,1,Blocker2,$,0,,0,FALSE
1004,2,3,Thunder,7,Blocker3,$,0,,0,FALSE
1004,2,3,Thunder,8,Jammer,,0,,0,FALSE
1004,2,3,Thunder,11,Pivot,,0,,0,FALSE
1004,2,3,Thunder,12,Blocker1,$,0,,0,FALSE
