GameId,Period,Jam,Team,JammerPlayerId,LeadJammer,CalledJam,PassOccurred,Passes,Points
1005,1,8,Harlots,36,FALSE,FALSE,FALSE,3,10
1005,1,8,Plan B,53,TRUE,FALSE,FALSE,2,9
1005,1,9,Harlots,30,FALSE,FALSE,FALSE,1,0
1005,1,9,Plan B,48,TRUE,TRUE,FALSE,4,15
1005,1,10,Harlots,39,TRUE,TRUE,FALSE,1,0
1005,1,10,Plan B,44,FALSE,FALSE,FALSE,1,0
1005,1,11,Harlots,42,FALSE,FALSE,FALSE,1,0
1005,1,11,Plan B,4,TRUE,TRUE,FALSE,1,4
1005,1,12,Harlots,36,FALSE,FALSE,FALSE,1,0
1005,1,12,Plan B,53,TRUE,FALSE,FALSE,3,15
1005,1,13,Harlots,37,FALSE,FALSE,FALSE,0,0
1005,1,13,Plan B,48,TRUE,TRUE,FALSE,3,12
1005,1,14,Harlots,39,FALSE,FALSE,FALSE,1,0
1005,1,14,Plan B,44,TRUE,TRUE,FALSE,2,4
1005,1,15,Harlots,42,TRUE,TRUE,FALSE,1,0
1005,1,15,Plan B,45,FALSE,FALSE,FALSE,1,0
1005,1,16,Harlots,36,TRUE,TRUE,FALSE,1,4
1005,1,16,Plan B,51,FALSE,FALSE,FALSE,1,0
1005,1,17,Harlots,30,TRUE,TRUE,FALSE,1,3
1005,1,17,Plan B,53,FALSE,FALSE,FALSE,1,0
1005,1,18,Harlots,33,FALSE,FALSE,TRUE,1,0
1005,1,18,Harlots,39,FALSE,FALSE,FALSE,0,0
1005,1,18,Plan B,48,TRUE,TRUE,FALSE,1,4
1005,1,19,Harlots,42,FALSE,FALSE,FALSE,2,4
1005,1,19,Plan B,53,TRUE,FALSE,FALSE,2,8
1005,2,1,Harlots,39,FALSE,FALSE,FALSE,0,0
1005,2,1,Plan B,48,TRUE,TRUE,FALSE,3,15
1005,2,2,Harlots,30,FALSE,FALSE,FALSE,1,0
1005,2,2,Plan B,44,TRUE,TRUE,FALSE,2,7
1005,2,3,Harlots,42,TRUE,TRUE,FALSE,3,12
1005,2,3,Plan B,53,FALSE,FALSE,FALSE,1,0
1005,2,4,Harlots,36,FALSE,FALSE,FALSE,2,4
1005,2,4,Plan B,48,TRUE,TRUE,FALSE,2,4
1005,2,5,Harlots,30,FALSE,FALSE,FALSE,0,0
1005,2,5,Harlots,38,FALSE,FALSE,TRUE,3,8
1005,2,5,Plan B,44,TRUE,TRUE,FALSE,3,9
1005,2,6,Harlots,33,FALSE,FALSE,TRUE,0,0
1005,2,6,Harlots,39,FALSE,FALSE,FALSE,0,0
